fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.70,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.00,2.6,0.098,25.0,67.0,0.9968,3.20,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.9970,3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.9980,3.16,0.58,9.8,6
7.4,0.70,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.9,0.60,0.06,1.6,0.069,15.0,59.0,0.9964,3.30,0.46,9.4,5
7.3,0.65,0.00,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7
7.5,0.50,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.80,10.5,5
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5
7.5,0.50,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.80,10.5,5
5.6,0.615,0.00,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5
7.8,0.610,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5
8.9,0.620,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5
8.9,0.620,0.19,3.9,0.170,51.0,148.0,0.9986,3.17,0.93,9.2,5
8.5,0.280,0.56,1.8,0.092,35.0,103.0,0.9969,3.30,0.75,10.5,7
8.1,0.560,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5
7.4,0.590,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.50,9.0,4
7.9,0.320,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6
8.9,0.220,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6
7.6,0.390,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5
7.9,0.430,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
8.5,0.490,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5
6.9,0.400,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6
6.3,0.390,0.16,1.4,0.080,11.0,23.0,0.9955,3.34,0.56,9.3,5
7.6,0.410,0.24,1.8,0.080,4.0,11.0,0.9962,3.28,0.59,9.5,5
7.9,0.430,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
7.1,0.710,0.00,1.9,0.080,14.0,35.0,0.9972,3.47,0.55,9.4,5
7.8,0.645,0.00,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6
6.3,0.510,0.13,2.3,0.076,29.0,40.0,0.9574,3.42,0.75,11.0,6
8.1,0.820,0.00,4.1,0.095,5.0,14.0,0.9980,3.36,0.53,9.6,5
7.2,0.660,0.00,1.8,0.065,21.0,46.0,0.9968,3.45,0.57,9.6,6
6.4,0.310,0.38,4.9,0.050,27.0,72.0,0.9958,3.32,0.52,11.2,6
6.5,0.360,0.29,1.6,0.114,26.0,74.0,0.9969,3.40,0.50,9.0,5
6.8,0.670,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,6
7.7,0.560,0.08,2.5,0.114,14.0,46.0,0.9971,3.24,0.66,9.6,5
6.9,0.430,0.10,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6
7.0,0.620,0.08,1.9,0.076,28.0,56.0,0.9962,3.41,0.59,10.7,6
7.5,0.520,0.40,2.2,0.060,12.0,20.0,0.9964,3.35,0.55,9.9,6
8.0,0.590,0.22,2.0,0.069,9.0,23.0,0.9968,3.38,0.57,9.5,6
7.4,0.360,0.30,1.8,0.074,17.0,24.0,0.9964,3.32,0.60,10.0,7
7.4,0.360,0.29,1.6,0.112,25.0,67.0,0.9972,3.38,0.66,9.6,6
6.8,0.520,0.26,1.7,0.092,6.0,15.0,0.9962,3.35,0.63,10.2,6
6.2,0.660,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8
7.7,0.490,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,6
6.7,0.760,0.02,1.8,0.078,13.0,48.0,0.9958,3.35,0.59,9.5,5
6.9,0.685,0.00,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.0,5
7.6,0.670,0.14,1.5,0.074,25.0,168.0,0.9972,3.15,0.65,9.0,5
8.3,0.420,0.62,19.2,0.040,41.0,172.0,1.0002,3.43,0.71,10.4,6
8.6,0.490,0.28,1.9,0.110,20.0,136.0,0.9972,2.93,1.95,9.9,6
8.8,0.610,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5
7.4,0.350,0.20,13.9,0.054,63.0,229.0,0.9986,3.33,0.56,11.0,6
7.4,0.350,0.20,13.9,0.054,63.0,229.0,0.9986,3.33,0.56,11.0,6
7.6,0.510,0.15,2.8,0.110,33.0,73.0,0.9955,3.17,0.63,10.2,6
